Age,Interest,Career
33,Travel,Pharmacist
43,Travel,Mathematician
43,Sports,Data Scientist
20,Sports,Software Engineer
36,Cooking,AI Engineer
27,Art,Doctor
40,Business,Software Engineer
28,Art,Civil Engineer
19,Gaming,Chef
45,Technology,Graphic Designer
59,Photography,Electrical Engineer
44,Art,AI Engineer
23,Technology,Marketing Manager
22,Teaching,Scientist
50,Medicine,Pharmacist
42,Sports,Software Engineer
38,Photography,Game Developer
46,Business,Robotics Engineer
50,Medicine,Game Developer
21,Travel,Robotics Engineer
33,Business,Cybersecurity Specialist
25,Aviation,Nurse
46,Construction,Doctor
18,Photography,Mechanical Engineer
45,Gaming,Scientist
55,Aviation,Pharmacist
53,Aviation,Biologist
44,Music,Teacher
50,Law,Software Engineer
32,Photography,Game Developer
21,Gaming,Robotics Engineer
56,Technology,Architect
39,Medicine,Nurse
31,Teaching,Photographer
58,Business,AI Engineer
28,Robotics,Chef
32,Construction,Entrepreneur
60,Music,Robotics Engineer
41,Sports,Journalist
30,Photography,Teacher
38,Robotics,Cybersecurity Specialist
31,Art,Journalist
55,Law,Cybersecurity Specialist
41,Gaming,Journalist
23,Science,Mathematician
34,Robotics,Doctor
23,Sports,Scientist
38,Music,Biologist
25,Music,Chef
54,Gaming,Teacher
39,Mathematics,AI Engineer
25,Science,Chef
32,Aviation,Pharmacist
45,Medicine,Mechanical Engineer
54,Mathematics,Electrical Engineer
29,Construction,Nurse
52,Medicine,Biologist
31,Robotics,Entrepreneur
43,Science,Musician
40,Construction,Graphic Designer
58,Robotics,Cybersecurity Specialist
58,Music,Nurse
53,Robotics,Scientist
50,Robotics,Teacher
53,Construction,Chef
31,Cooking,Architect
20,Music,Cybersecurity Specialist
33,Cooking,Marketing Manager
22,Science,Biologist
46,Music,AI Engineer
46,Mathematics,Scientist
57,Travel,Nurse
38,Aviation,Musician
60,Business,Lawyer
40,Photography,Mathematician
46,Technology,Actor
49,Music,Economist
58,Science,Nurse
51,Law,Actor
54,Law,Graphic Designer
53,Teaching,Mechanical Engineer
41,Travel,Graphic Designer
34,Aviation,Biologist
37,Teaching,Architect
44,Gaming,Mechanical Engineer
28,Music,Photographer
38,Art,Scientist
19,Law,Software Engineer
60,Robotics,Accountant
54,Teaching,Cybersecurity Specialist
52,Science,Cybersecurity Specialist
56,Construction,Civil Engineer
39,Photography,Graphic Designer
19,Law,Musician
18,Teaching,Architect
44,Art,Civil Engineer
32,Teaching,Robotics Engineer
47,Gaming,AI Engineer
37,Construction,Scientist
46,Art,Biologist
58,Aviation,Mechanical Engineer
35,Travel,Pharmacist
29,Technology,Teacher
20,Construction,Entrepreneur
43,Photography,AI Engineer
52,Gaming,Social Worker
24,Music,Marketing Manager
19,Aviation,Astronomer
56,Robotics,Graphic Designer
27,Technology,Doctor
36,Science,Mathematician
22,Mathematics,Biologist
19,Technology,AI Engineer
32,Construction,Astronomer
60,Construction,Musician
30,Medicine,Doctor
28,Photography,Mechanical Engineer
24,Robotics,Game Developer
22,Photography,Robotics Engineer
36,Construction,Teacher
29,Construction,Actor
55,Science,Chef
46,Travel,Cybersecurity Specialist
50,Cooking,Social Worker
45,Photography,Civil Engineer
53,Art,Pharmacist
22,Travel,Social Worker
24,Robotics,Architect
24,Sports,Scientist
45,Construction,Entrepreneur
53,Aviation,Lawyer
39,Art,Scientist
46,Technology,Doctor
43,Technology,Lawyer
50,Science,Scientist
47,Aviation,Civil Engineer
47,Sports,Lawyer
56,Sports,Marketing Manager
32,Aviation,Social Worker
35,Law,Social Worker
33,Sports,Accountant
20,Law,Robotics Engineer
42,Travel,Lawyer
45,Business,Data Scientist
29,Teaching,Doctor
24,Photography,Teacher
33,Mathematics,Marketing Manager
20,Construction,Biologist
46,Teaching,Civil Engineer
24,Gaming,Biologist
24,Photography,Data Scientist
52,Mathematics,Teacher
60,Medicine,Marketing Manager
57,Law,Accountant
23,Construction,Teacher
60,Mathematics,Pharmacist
33,Music,Software Engineer
47,Art,Civil Engineer
49,Gaming,Biologist
56,Construction,Chef
47,Law,Graphic Designer
52,Construction,Lawyer
35,Art,Nurse
60,Aviation,Teacher
47,Teaching,Musician
18,Law,Accountant
60,Gaming,Pharmacist
26,Business,Chef
52,Cooking,Astronomer
55,Business,Robotics Engineer
26,Photography,Accountant
25,Photography,Economist
21,Construction,Mechanical Engineer
59,Medicine,Lawyer
54,Cooking,Accountant
25,Gaming,Entrepreneur
37,Mathematics,Robotics Engineer
22,Law,Game Developer
30,Robotics,Software Engineer
55,Law,AI Engineer
51,Science,Pharmacist
59,Teaching,Economist
40,Aviation,Pilot
48,Law,Cybersecurity Specialist
26,Music,Social Worker
40,Music,Marketing Manager
42,Photography,Electrical Engineer
49,Gaming,Doctor
40,Science,Pharmacist
39,Mathematics,Scientist
25,Mathematics,Pharmacist
50,Art,Astronomer
60,Technology,Chef
39,Law,Mathematician
45,Cooking,Economist
53,Teaching,Chef
42,Aviation,Pharmacist
54,Medicine,Cybersecurity Specialist
54,Teaching,Economist
33,Medicine,Lawyer
33,Gaming,Social Worker
45,Music,Mathematician
33,Photography,Entrepreneur
33,Art,Scientist
41,Law,Teacher
45,Gaming,Software Engineer
23,Sports,Doctor
55,Technology,AI Engineer
23,Robotics,Pilot
31,Science,Mathematician
19,Construction,Architect
59,Robotics,Cybersecurity Specialist
41,Technology,Pilot
55,Art,Pharmacist
22,Travel,Astronomer
18,Science,Scientist
32,Business,Pharmacist
44,Music,Entrepreneur
25,Business,Social Worker
18,Science,Graphic Designer
40,Mathematics,Doctor
31,Medicine,Software Engineer
42,Art,Entrepreneur
35,Mathematics,Cybersecurity Specialist
59,Photography,Scientist
51,Law,Electrical Engineer
19,Business,Architect
44,Construction,Actor
27,Construction,Mathematician
28,Medicine,Graphic Designer
39,Teaching,Software Engineer
55,Gaming,Pharmacist
51,Teaching,Actor
59,Gaming,Marketing Manager
44,Construction,Actor
26,Music,Lawyer
50,Sports,AI Engineer
19,Construction,Social Worker
30,Medicine,Doctor
36,Business,Lawyer
29,Construction,Electrical Engineer
32,Travel,Civil Engineer
50,Business,Data Scientist
29,Sports,Economist
23,Teaching,Architect
19,Construction,Journalist
36,Law,Civil Engineer
37,Robotics,Entrepreneur
38,Medicine,Economist
52,Travel,Entrepreneur
24,Science,Entrepreneur
37,Photography,Nurse
59,Robotics,Journalist
59,Art,Economist
58,Business,Accountant
46,Art,Pilot
58,Aviation,Actor
47,Cooking,Pilot
35,Sports,Marketing Manager
25,Law,Economist
30,Robotics,Astronomer
55,Construction,Social Worker
30,Medicine,Graphic Designer
19,Construction,Teacher
46,Photography,Economist
22,Gaming,Scientist
19,Construction,Mathematician
26,Art,Accountant
37,Teaching,Doctor
39,Construction,Marketing Manager
30,Teaching,Data Scientist
47,Business,Pilot
59,Art,Pharmacist
20,Teaching,Entrepreneur
57,Art,Scientist
54,Medicine,Scientist
34,Gaming,Actor
27,Business,Pharmacist
41,Teaching,Actor
24,Construction,Photographer
58,Business,Electrical Engineer
55,Cooking,Scientist
49,Business,Teacher
36,Cooking,Teacher
44,Cooking,Social Worker
31,Robotics,Actor
23,Music,Musician
52,Music,Data Scientist
43,Travel,Marketing Manager
31,Aviation,Marketing Manager
30,Business,Economist
48,Travel,Mathematician
57,Technology,Marketing Manager
41,Gaming,AI Engineer
58,Travel,Doctor
27,Mathematics,Game Developer
23,Business,Mathematician
18,Cooking,Musician
43,Travel,Actor
41,Medicine,Pharmacist
23,Travel,Mechanical Engineer
23,Photography,Mathematician
21,Art,Journalist
23,Art,Actor
44,Business,Game Developer
57,Cooking,Musician
52,Law,Musician
18,Travel,Mathematician
53,Art,Entrepreneur
46,Business,Pharmacist
21,Robotics,Software Engineer
37,Teaching,AI Engineer
58,Technology,Social Worker
39,Technology,Game Developer
29,Music,Architect
24,Travel,Software Engineer
39,Robotics,Accountant
36,Law,Pharmacist
30,Technology,Cybersecurity Specialist
30,Law,Mechanical Engineer
58,Music,Software Engineer
27,Music,Civil Engineer
41,Teaching,Economist
30,Cooking,Robotics Engineer
38,Mathematics,Chef
53,Travel,Robotics Engineer
53,Business,Accountant
48,Cooking,Electrical Engineer
31,Robotics,Software Engineer
54,Cooking,Civil Engineer
27,Art,Game Developer
49,Sports,Scientist
21,Sports,Entrepreneur
29,Gaming,Software Engineer
57,Teaching,Robotics Engineer
27,Photography,Architect
33,Law,Journalist
28,Science,Cybersecurity Specialist
45,Music,Mechanical Engineer
39,Construction,Cybersecurity Specialist
59,Business,Teacher
35,Business,Doctor
51,Gaming,Mathematician
54,Business,Musician
21,Music,Marketing Manager
49,Cooking,Chef
42,Travel,Civil Engineer
59,Business,Pilot
21,Gaming,Game Developer
58,Photography,Musician
21,Teaching,Doctor
30,Teaching,Chef
21,Art,AI Engineer
53,Mathematics,Software Engineer
29,Law,Doctor
44,Travel,Graphic Designer
42,Science,Nurse
20,Music,Graphic Designer
28,Technology,Photographer
40,Photography,Lawyer
56,Photography,Entrepreneur
32,Music,Social Worker
35,Gaming,Game Developer
51,Science,Astronomer
51,Robotics,Biologist
35,Technology,Scientist
47,Music,Mathematician
58,Mathematics,Civil Engineer
32,Robotics,Journalist
20,Aviation,Architect
42,Music,Economist
53,Travel,Scientist
29,Aviation,Social Worker
30,Cooking,Musician
60,Robotics,Doctor
36,Science,Software Engineer
36,Business,Graphic Designer
58,Aviation,Pilot
29,Photography,Architect
26,Sports,Game Developer
39,Aviation,Pharmacist
32,Technology,Mathematician
48,Aviation,Game Developer
35,Photography,Mechanical Engineer
35,Music,Mathematician
29,Business,Chef
33,Teaching,Pharmacist
