Age,Interest,Aptitude,Career
26,Arts,Logical,Fine Arts
21,Maths,Logical,Commerce
27,Literature,Research,Teacher
27,Arts,Logical,Graphic Design
15,Sports,Practical,Coach
26,Arts,Practical,Graphic Design
17,Science,Practical,Research
20,Science,Analytical,Research
16,Literature,Practical,Journalist
18,Technology,Communication,Cybersecurity
21,Science,Logical,Medicine
18,Arts,Communication,Literature
24,Social Science,Logical,Lawyer
24,Science,Analytical,Biotechnology
27,Maths,Practical,Commerce
24,Science,Communication,Biotechnology
15,Social Science,Communication,Sociologist
28,Technology,Practical,Software Engineer
15,Maths,Leadership,Data Science
28,Maths,Analytical,Data Science
17,Sports,Analytical,Athlete
18,Sports,Research,Coach
30,Social Science,Research,Sociologist
29,Business,Analytical,Finance
19,Literature,Analytical,Teacher
22,Business,Practical,Finance
17,Social Science,Leadership,Psychologist
26,Arts,Creative,Fine Arts
30,Science,Creative,Biotechnology
21,Social Science,Leadership,Lawyer
27,Technology,Communication,AI/ML Engineer
16,Science,Practical,Research
25,Technology,Practical,AI/ML Engineer
28,Arts,Creative,Graphic Design
24,Literature,Leadership,Teacher
15,Technology,Creative,Software Engineer
19,Technology,Practical,Cybersecurity
16,Science,Practical,Biotechnology
27,Social Science,Practical,Lawyer
28,Technology,Creative,Cybersecurity
29,Sports,Logical,Athlete
22,Business,Communication,Management
30,Science,Logical,Biotechnology
16,Arts,Leadership,Graphic Design
20,Technology,Communication,Software Engineer
22,Arts,Logical,Literature
30,Social Science,Communication,Psychologist
23,Social Science,Communication,Sociologist
18,Arts,Creative,Graphic Design
18,Sports,Creative,Coach
15,Business,Communication,Entrepreneurship
21,Social Science,Communication,Sociologist
15,Sports,Leadership,Coach
22,Business,Communication,Entrepreneurship
19,Business,Practical,Finance
21,Arts,Analytical,Literature
15,Maths,Logical,Commerce
24,Maths,Creative,Commerce
22,Literature,Research,Teacher
22,Arts,Communication,Fine Arts
21,Science,Creative,Medicine
30,Technology,Research,Software Engineer
20,Technology,Analytical,Software Engineer
29,Maths,Leadership,Commerce
15,Sports,Analytical,Athlete
23,Arts,Logical,Literature
26,Maths,Research,Engineering
22,Technology,Communication,Software Engineer
17,Arts,Logical,Graphic Design
25,Business,Research,Finance
21,Business,Research,Finance
30,Sports,Research,Coach
21,Technology,Logical,AI/ML Engineer
16,Sports,Creative,Coach
29,Literature,Practical,Journalist
27,Science,Analytical,Biotechnology
20,Technology,Logical,Cybersecurity
21,Literature,Leadership,Journalist
16,Technology,Communication,Software Engineer
22,Literature,Creative,Journalist
16,Science,Research,Biotechnology
23,Science,Communication,Medicine
26,Technology,Practical,Software Engineer
27,Arts,Practical,Fine Arts
25,Arts,Creative,Literature
21,Arts,Logical,Graphic Design
18,Social Science,Practical,Sociologist
27,Arts,Practical,Fine Arts
23,Social Science,Leadership,Sociologist
30,Literature,Logical,Teacher
28,Business,Leadership,Entrepreneurship
22,Business,Research,Finance
18,Literature,Logical,Writer
17,Business,Communication,Finance
21,Arts,Practical,Graphic Design
24,Social Science,Logical,Lawyer
20,Business,Research,Management
22,Literature,Practical,Journalist
29,Arts,Analytical,Graphic Design
28,Business,Communication,Entrepreneurship
29,Technology,Research,Software Engineer
15,Science,Leadership,Biotechnology
23,Business,Practical,Finance
17,Technology,Practical,Cybersecurity
23,Technology,Logical,Cybersecurity
25,Science,Logical,Biotechnology
21,Business,Practical,Management
16,Social Science,Leadership,Lawyer
19,Business,Logical,Management
29,Literature,Analytical,Teacher
29,Business,Analytical,Management
17,Technology,Analytical,Cybersecurity
29,Social Science,Analytical,Lawyer
29,Literature,Logical,Teacher
20,Business,Practical,Management
16,Science,Practical,Research
24,Arts,Practical,Graphic Design
29,Social Science,Analytical,Sociologist
17,Science,Analytical,Medicine
24,Business,Communication,Finance
28,Sports,Communication,Sports Scientist
30,Science,Leadership,Biotechnology
30,Technology,Leadership,Cybersecurity
30,Sports,Communication,Coach
28,Arts,Research,Graphic Design
19,Social Science,Logical,Sociologist
23,Literature,Practical,Teacher
19,Arts,Creative,Literature
27,Literature,Logical,Teacher
21,Sports,Creative,Coach
25,Social Science,Leadership,Sociologist
20,Social Science,Analytical,Lawyer
22,Technology,Research,AI/ML Engineer
15,Social Science,Practical,Lawyer
21,Social Science,Creative,Lawyer
24,Technology,Practical,AI/ML Engineer
18,Literature,Practical,Writer
15,Science,Communication,Medicine
16,Science,Analytical,Research
30,Social Science,Communication,Psychologist
22,Science,Analytical,Biotechnology
15,Arts,Communication,Literature
16,Arts,Leadership,Fine Arts
21,Maths,Communication,Data Science
30,Sports,Practical,Sports Scientist
23,Social Science,Analytical,Sociologist
22,Social Science,Logical,Sociologist
16,Arts,Practical,Graphic Design
21,Social Science,Logical,Lawyer
16,Technology,Leadership,AI/ML Engineer
19,Sports,Leadership,Athlete
25,Sports,Creative,Coach
21,Literature,Practical,Teacher
15,Social Science,Leadership,Lawyer
25,Arts,Leadership,Graphic Design
19,Sports,Research,Athlete
27,Sports,Creative,Coach
25,Business,Creative,Finance
29,Sports,Communication,Sports Scientist
25,Literature,Creative,Writer
22,Arts,Leadership,Fine Arts
15,Sports,Creative,Coach
17,Arts,Logical,Graphic Design
30,Literature,Communication,Journalist
22,Technology,Research,Software Engineer
25,Social Science,Communication,Psychologist
29,Technology,Communication,Software Engineer
30,Science,Communication,Medicine
15,Science,Communication,Medicine
16,Technology,Logical,AI/ML Engineer
30,Maths,Communication,Commerce
23,Literature,Leadership,Journalist
28,Technology,Leadership,Cybersecurity
16,Sports,Logical,Sports Scientist
26,Business,Leadership,Finance
27,Technology,Communication,Software Engineer
28,Business,Creative,Entrepreneurship
25,Technology,Leadership,AI/ML Engineer
29,Social Science,Leadership,Sociologist
30,Literature,Creative,Teacher
27,Business,Research,Management
16,Literature,Logical,Writer
17,Science,Practical,Biotechnology
16,Business,Creative,Finance
17,Business,Logical,Finance
22,Social Science,Leadership,Lawyer
28,Literature,Practical,Journalist
24,Sports,Leadership,Sports Scientist
18,Sports,Analytical,Athlete
15,Social Science,Creative,Lawyer
24,Maths,Analytical,Engineering
26,Technology,Communication,Cybersecurity
20,Business,Analytical,Management
19,Maths,Logical,Data Science
29,Business,Analytical,Entrepreneurship
22,Sports,Creative,Athlete
20,Science,Creative,Medicine
25,Sports,Leadership,Coach
26,Technology,Analytical,Software Engineer
18,Social Science,Leadership,Sociologist
23,Arts,Research,Literature
22,Arts,Logical,Literature
18,Technology,Research,AI/ML Engineer
22,Arts,Analytical,Graphic Design
16,Arts,Creative,Literature
22,Technology,Leadership,Cybersecurity
26,Social Science,Research,Lawyer
24,Literature,Leadership,Writer
25,Maths,Communication,Data Science
15,Literature,Logical,Writer
15,Science,Logical,Medicine
17,Maths,Communication,Data Science
27,Maths,Research,Engineering
28,Technology,Communication,Software Engineer
22,Sports,Leadership,Sports Scientist
15,Science,Communication,Research
24,Social Science,Communication,Lawyer
17,Social Science,Practical,Psychologist
22,Business,Practical,Management
24,Arts,Logical,Literature
30,Literature,Practical,Writer
18,Social Science,Communication,Psychologist
27,Sports,Logical,Sports Scientist
27,Arts,Communication,Fine Arts
19,Science,Research,Biotechnology
19,Social Science,Research,Sociologist
27,Business,Creative,Entrepreneurship
24,Science,Research,Research
20,Technology,Practical,Software Engineer
29,Science,Research,Research
16,Technology,Practical,Software Engineer
28,Arts,Logical,Graphic Design
18,Business,Communication,Entrepreneurship
23,Business,Research,Entrepreneurship
17,Literature,Analytical,Teacher
23,Technology,Research,Software Engineer
26,Literature,Communication,Teacher
27,Business,Leadership,Management
24,Science,Communication,Biotechnology
29,Literature,Creative,Journalist
19,Literature,Practical,Journalist
18,Business,Logical,Finance
20,Technology,Communication,Cybersecurity
29,Social Science,Practical,Lawyer
16,Sports,Creative,Coach
17,Literature,Leadership,Journalist
24,Social Science,Communication,Sociologist
30,Social Science,Communication,Lawyer
29,Technology,Leadership,Software Engineer
22,Technology,Research,Software Engineer
27,Arts,Practical,Graphic Design
15,Science,Research,Medicine
27,Science,Analytical,Biotechnology
20,Sports,Practical,Athlete
16,Literature,Logical,Journalist
30,Business,Research,Management
29,Social Science,Analytical,Sociologist
27,Business,Practical,Management
26,Technology,Communication,Software Engineer
18,Literature,Leadership,Teacher
20,Social Science,Research,Lawyer
15,Business,Creative,Entrepreneurship
18,Science,Analytical,Research
27,Social Science,Research,Sociologist
23,Business,Analytical,Management
20,Maths,Research,Commerce
15,Business,Communication,Management
25,Arts,Practical,Fine Arts
20,Maths,Communication,Data Science
26,Sports,Creative,Sports Scientist
28,Science,Leadership,Medicine
27,Technology,Leadership,Software Engineer
29,Science,Logical,Research
26,Literature,Communication,Writer
30,Maths,Leadership,Data Science
21,Literature,Creative,Writer
22,Sports,Creative,Coach
24,Business,Communication,Management
24,Business,Communication,Entrepreneurship
25,Maths,Analytical,Data Science
18,Maths,Creative,Commerce
24,Social Science,Logical,Sociologist
15,Literature,Creative,Writer
24,Literature,Creative,Writer
19,Technology,Creative,Cybersecurity
30,Literature,Practical,Teacher
21,Technology,Leadership,Software Engineer
23,Science,Communication,Biotechnology
22,Sports,Creative,Athlete
28,Maths,Practical,Data Science
18,Arts,Analytical,Graphic Design
27,Literature,Logical,Writer
30,Business,Analytical,Management
22,Technology,Analytical,AI/ML Engineer
16,Social Science,Analytical,Sociologist
16,Business,Practical,Finance
15,Social Science,Creative,Psychologist
21,Technology,Communication,AI/ML Engineer
20,Literature,Creative,Writer
19,Social Science,Logical,Lawyer
18,Social Science,Analytical,Lawyer
23,Science,Analytical,Research
28,Maths,Logical,Commerce
18,Business,Creative,Entrepreneurship
19,Science,Communication,Medicine
19,Arts,Leadership,Graphic Design
15,Sports,Creative,Coach
17,Social Science,Research,Lawyer
23,Science,Research,Research
26,Technology,Communication,AI/ML Engineer
22,Social Science,Logical,Lawyer
25,Science,Logical,Medicine
29,Technology,Creative,AI/ML Engineer
15,Science,Logical,Research
17,Sports,Creative,Sports Scientist
15,Science,Creative,Biotechnology
22,Technology,Research,AI/ML Engineer
27,Sports,Communication,Coach
25,Arts,Practical,Literature
28,Maths,Analytical,Commerce
20,Science,Logical,Biotechnology
21,Arts,Practical,Literature
25,Maths,Communication,Engineering
28,Literature,Leadership,Writer
24,Literature,Analytical,Journalist
26,Business,Practical,Entrepreneurship
20,Maths,Analytical,Data Science
25,Business,Creative,Entrepreneurship
17,Social Science,Leadership,Psychologist
26,Maths,Creative,Engineering
15,Science,Communication,Research
23,Technology,Practical,Software Engineer
19,Maths,Leadership,Engineering
24,Maths,Communication,Commerce
18,Social Science,Practical,Lawyer
30,Arts,Research,Fine Arts
22,Technology,Analytical,Software Engineer
30,Technology,Creative,AI/ML Engineer
24,Social Science,Logical,Lawyer
29,Science,Research,Medicine
27,Maths,Communication,Data Science
23,Maths,Communication,Data Science
25,Science,Practical,Research
19,Sports,Research,Athlete
27,Business,Research,Entrepreneurship
27,Science,Creative,Research
16,Science,Communication,Biotechnology
23,Literature,Logical,Writer
24,Literature,Communication,Writer
24,Sports,Communication,Athlete
30,Sports,Communication,Sports Scientist
17,Literature,Analytical,Writer
21,Science,Creative,Medicine
25,Sports,Logical,Coach
26,Technology,Communication,AI/ML Engineer
28,Maths,Communication,Data Science
29,Social Science,Analytical,Sociologist
29,Technology,Creative,Cybersecurity
29,Maths,Research,Data Science
28,Social Science,Research,Sociologist
30,Arts,Practical,Fine Arts
20,Science,Creative,Research
27,Arts,Creative,Fine Arts
19,Technology,Research,Cybersecurity
21,Arts,Communication,Literature
27,Maths,Creative,Commerce
15,Science,Leadership,Medicine
15,Social Science,Logical,Psychologist
22,Business,Communication,Entrepreneurship
16,Business,Leadership,Management
17,Maths,Logical,Data Science
15,Sports,Leadership,Athlete
19,Literature,Analytical,Journalist
19,Science,Communication,Biotechnology
19,Arts,Research,Fine Arts
27,Sports,Leadership,Coach
28,Technology,Leadership,Software Engineer
26,Maths,Communication,Data Science
27,Technology,Leadership,Software Engineer
27,Technology,Communication,AI/ML Engineer
21,Sports,Logical,Sports Scientist
19,Literature,Leadership,Journalist
16,Business,Research,Management
22,Maths,Research,Engineering
20,Literature,Practical,Teacher
18,Sports,Creative,Coach
18,Maths,Practical,Engineering
17,Maths,Communication,Engineering
26,Sports,Logical,Sports Scientist
22,Technology,Logical,Cybersecurity
21,Maths,Logical,Data Science
24,Literature,Leadership,Writer
27,Science,Leadership,Biotechnology
29,Literature,Practical,Teacher
17,Technology,Communication,Software Engineer
29,Business,Analytical,Entrepreneurship
29,Science,Research,Biotechnology
18,Maths,Practical,Engineering
27,Literature,Logical,Teacher
25,Arts,Logical,Graphic Design
26,Science,Research,Biotechnology
16,Maths,Communication,Commerce
29,Arts,Practical,Fine Arts
18,Sports,Communication,Coach
18,Sports,Logical,Athlete
23,Business,Communication,Finance
24,Technology,Logical,AI/ML Engineer
29,Science,Research,Research
26,Arts,Research,Fine Arts
20,Arts,Communication,Graphic Design
26,Technology,Communication,Cybersecurity
28,Business,Leadership,Management
22,Business,Creative,Management
28,Literature,Leadership,Teacher
15,Maths,Leadership,Commerce
29,Arts,Logical,Graphic Design
30,Arts,Research,Literature
26,Maths,Practical,Commerce
30,Business,Practical,Finance
16,Arts,Practical,Fine Arts
17,Arts,Research,Fine Arts
19,Social Science,Research,Sociologist
27,Business,Practical,Entrepreneurship
24,Literature,Practical,Teacher
22,Science,Practical,Medicine
28,Literature,Creative,Journalist
21,Maths,Communication,Data Science
28,Sports,Analytical,Sports Scientist
24,Technology,Leadership,Cybersecurity
29,Literature,Creative,Teacher
28,Science,Communication,Biotechnology
25,Science,Communication,Biotechnology
16,Science,Leadership,Medicine
30,Arts,Analytical,Graphic Design
16,Business,Practical,Management
30,Sports,Analytical,Coach
30,Maths,Research,Commerce
26,Sports,Leadership,Coach
21,Maths,Leadership,Commerce
28,Technology,Logical,AI/ML Engineer
24,Literature,Communication,Teacher
25,Literature,Practical,Teacher
23,Literature,Leadership,Journalist
28,Science,Analytical,Research
18,Technology,Analytical,AI/ML Engineer
30,Sports,Practical,Athlete
25,Literature,Leadership,Writer
21,Literature,Creative,Journalist
16,Literature,Creative,Writer
24,Business,Communication,Entrepreneurship
22,Literature,Communication,Teacher
18,Technology,Creative,Software Engineer
23,Social Science,Communication,Sociologist
30,Business,Leadership,Finance
15,Maths,Research,Engineering
16,Literature,Communication,Teacher
17,Technology,Practical,Software Engineer
27,Business,Analytical,Management
30,Maths,Communication,Commerce
26,Sports,Practical,Athlete
30,Arts,Communication,Literature
28,Arts,Leadership,Literature
21,Arts,Creative,Fine Arts
20,Science,Analytical,Biotechnology
25,Sports,Logical,Coach
24,Arts,Research,Fine Arts
27,Literature,Practical,Journalist
27,Science,Analytical,Research
16,Sports,Research,Coach
19,Business,Leadership,Management
16,Arts,Creative,Literature
18,Literature,Leadership,Teacher
15,Maths,Practical,Engineering
15,Business,Logical,Management
16,Business,Communication,Entrepreneurship
22,Science,Research,Biotechnology
17,Maths,Research,Commerce
29,Arts,Practical,Graphic Design
26,Technology,Analytical,AI/ML Engineer
30,Social Science,Communication,Sociologist
29,Arts,Logical,Graphic Design
30,Arts,Leadership,Literature
27,Technology,Leadership,Cybersecurity
22,Maths,Practical,Commerce
28,Sports,Practical,Coach
15,Literature,Analytical,Journalist
24,Maths,Logical,Engineering
26,Business,Research,Finance
16,Maths,Communication,Data Science
20,Business,Analytical,Management
23,Sports,Logical,Sports Scientist
24,Science,Research,Medicine
26,Maths,Practical,Commerce
25,Social Science,Practical,Psychologist
20,Maths,Logical,Commerce
23,Sports,Research,Athlete
19,Technology,Practical,Software Engineer
16,Social Science,Leadership,Lawyer
18,Sports,Creative,Sports Scientist
26,Social Science,Communication,Sociologist
18,Maths,Research,Data Science
29,Social Science,Communication,Lawyer
16,Literature,Logical,Teacher
19,Science,Leadership,Biotechnology
20,Literature,Leadership,Teacher
24,Maths,Communication,Data Science
29,Social Science,Leadership,Sociologist
24,Business,Leadership,Finance
30,Social Science,Practical,Psychologist
17,Technology,Research,Software Engineer
23,Arts,Logical,Literature
23,Science,Analytical,Medicine
16,Social Science,Analytical,Sociologist
29,Literature,Research,Teacher
21,Literature,Analytical,Teacher
22,Arts,Practical,Graphic Design
21,Business,Practical,Finance
29,Literature,Leadership,Journalist
26,Maths,Logical,Engineering
17,Maths,Logical,Commerce
20,Sports,Communication,Coach
29,Maths,Leadership,Data Science
30,Arts,Practical,Literature
22,Sports,Communication,Coach
20,Arts,Research,Graphic Design
17,Technology,Practical,Software Engineer
17,Sports,Research,Athlete
29,Literature,Analytical,Journalist
24,Business,Creative,Finance
17,Literature,Creative,Writer
27,Sports,Research,Sports Scientist
29,Arts,Logical,Literature
20,Science,Research,Medicine
18,Sports,Practical,Sports Scientist
20,Science,Research,Research
21,Sports,Research,Athlete
23,Business,Research,Finance
22,Social Science,Communication,Lawyer
29,Business,Analytical,Finance
24,Sports,Research,Sports Scientist
24,Sports,Creative,Sports Scientist
22,Technology,Creative,Software Engineer
20,Social Science,Practical,Psychologist
17,Literature,Leadership,Writer
25,Social Science,Communication,Sociologist
24,Social Science,Analytical,Sociologist
29,Arts,Analytical,Literature
17,Arts,Leadership,Graphic Design
18,Technology,Practical,AI/ML Engineer
19,Technology,Research,Software Engineer
19,Social Science,Creative,Sociologist
30,Literature,Leadership,Teacher
19,Science,Logical,Medicine
24,Technology,Communication,Software Engineer
21,Maths,Practical,Commerce
27,Arts,Analytical,Fine Arts
15,Social Science,Leadership,Lawyer
17,Maths,Research,Engineering
16,Sports,Practical,Athlete
18,Business,Logical,Management
24,Technology,Leadership,AI/ML Engineer
17,Literature,Leadership,Teacher
28,Science,Analytical,Medicine
27,Science,Research,Medicine
15,Literature,Analytical,Journalist
22,Social Science,Creative,Sociologist
15,Maths,Logical,Data Science
17,Maths,Creative,Commerce
16,Business,Leadership,Entrepreneurship
21,Technology,Creative,AI/ML Engineer
25,Sports,Analytical,Athlete
27,Maths,Logical,Data Science
30,Science,Communication,Medicine
19,Literature,Research,Writer
23,Science,Logical,Biotechnology
27,Arts,Logical,Literature
17,Technology,Practical,Cybersecurity
28,Maths,Creative,Engineering
20,Technology,Analytical,Cybersecurity
18,Arts,Communication,Literature
21,Maths,Logical,Engineering
25,Maths,Communication,Data Science
30,Arts,Research,Fine Arts
18,Technology,Research,Software Engineer
15,Literature,Analytical,Journalist
21,Technology,Practical,AI/ML Engineer
24,Literature,Analytical,Journalist
17,Literature,Practical,Teacher
26,Social Science,Logical,Lawyer
23,Social Science,Communication,Lawyer
28,Sports,Practical,Sports Scientist
17,Arts,Leadership,Fine Arts
24,Sports,Practical,Coach
26,Social Science,Research,Sociologist
28,Sports,Practical,Sports Scientist
25,Science,Practical,Medicine
25,Arts,Analytical,Fine Arts
24,Maths,Research,Data Science
19,Literature,Logical,Journalist
19,Social Science,Creative,Psychologist
22,Business,Creative,Finance
30,Literature,Creative,Teacher
19,Arts,Communication,Graphic Design
30,Technology,Creative,AI/ML Engineer
17,Social Science,Creative,Sociologist
22,Maths,Communication,Engineering
16,Business,Creative,Finance
30,Technology,Practical,Software Engineer
28,Social Science,Analytical,Psychologist
15,Social Science,Analytical,Sociologist
16,Arts,Logical,Graphic Design
